"cat_Blog, CMS","cat_Blog, CMS_version",cat_CDN,cat_Database,"cat_Documentation, Issue Tracker, CMS","cat_E-commerce, CMS","cat_E-commerce, CMS_version","cat_Editor, Landing Page Builder, CMS","cat_Issue Tracker, CMS","cat_Issue Tracker, CMS_version","cat_Landing Page Builder, CMS",cat_Operating System,"cat_Other CMS, CMS","cat_Other CMS, CMS_version",cat_Programming Language,cat_Programming Language_version,"cat_Static Site Generator, CMS, Web Framework","cat_Static Site Generator, CMS, Web Framework_version","cat_Static Site Generator, Editor, CMS",cat_Web Framework,"cat_Web Framework, Web Server",cat_Web Server,cat_Web Server_version,"cat_Website Builder, CMS",cms_,cms_CodeIgniter,cms_Contao,cms_Craft CMS,cms_Foleon,cms_Gatsby,cms_HubSpot,cms_Joomla,cms_Laravel,cms_Magento,cms_Microsoft Word,cms_Next.js,cms_Pimcore,cms_PrestaShop,cms_Ruby on Rails,cms_Salesforce,cms_SiteCore,cms_SmugMug,cms_Sulu CMS,cms_Umbraco,cms_WooCommerce,cms_WordPress,cms_Zendesk,original_domain
,,Cloudflare,,,,,,,,,,,,,,,,,,,,,,28,,,,,,1,,,,,,,,,,,,,,,,,2235773.hubspotpreview-na1.com
,,Cloudflare,,,,,,,,,,HubSpot CMS Hub,,,,,,,,,,,HubSpot,,,,,,,2,,,,,,,,,,,,,,,,,ablakatetobe.hu
WordPress,6.1.1,cdnjs,MySQL,,,,,,,,,,,PHP,,,,,,,Apache,,,6,,,,,,1,,,,,,,,,,1,,,,,2,,academy.velux.pt
,,jQuery CDN,,,,,,,,,,,,,,,,,Microsoft ASP.NET,,,,,25,,,,,,2,,,,,,,,,,15,,,,,,,akademia.velux.pl
,,,,,,,,,,,,,,PHP,,,,,,,Nginx,1.19.2,,19,2,5,,,,4,,9,,,,,,4,,22,,,,,,,aktionen.velux.de
,,jQuery CDN,,,,,,,,,,,,,,,,,Microsoft ASP.NET,,,,,24,,,,,,2,,,,,,,,,,16,,,,,,,aktywni.velux.pl
,,,,,SiteCore,,,,,,,,,,,,,,Microsoft ASP.NET,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,alkatresz.veluxshop.hu
,,,,,,,,,,,,,,,,,,,,,Apache,,,25,,,,,,1,,2,,,,,,,,1,,,,,9,,app.velux.it
,,,,,,,,,,,,,,PHP,,,,,Laravel,,Nginx,1.19.2,,18,2,4,,,,2,,7,,,,,,2,,22,,,,,,,austauschkonfigurator.velux.de
,,,,,,,,,,,,Contao,,PHP,,,,,,,Nginx,1.19.2,,20,2,6,,,,4,,9,,,,,,4,,22,,,,,,,aw-teilnahme.velux.de
,,jQuery CDN,,,,,,,,,,,,,,,,,Microsoft ASP.NET,,,,,20,2,5,,,,4,,9,,,,,,4,,22,,,,,,,aw.velux.de
,,,,,,,,,,,,,,Node.js,,,,,,Next.js,,,,,,,,,,,,,,,1,,,,,,,,,,,,bfl-next-web-test.azurewebsites.net
,,Cloudflare,,,,,,,,,,HubSpot CMS Hub,,,,,,,,,,,HubSpot,19,,,,,,8,,3,,,,2,,,,7,,,1,,,,bienchezsoi.velux.be
,,,,,,,,,,,,,,,,,,,,,Apache,,,27,,,,,,1,,,,,,,,,,10,,,,,,,bll.velux.com
,,Cloudflare,,,,,,,,,,HubSpot CMS Hub,,,,,,,,,,,HubSpot,12,,,,,,5,,,,,,1,,,,7,,,1,,,,blog.velux.co.uk
,,Cloudflare,,,,,,,,,,HubSpot CMS Hub,,,,,,,,,,,HubSpot,5,,,,,,1,,,,,,1,,,,2,,,1,,,,blog.velux.ie
,,Cloudflare,,,,,,,,,,HubSpot CMS Hub,,,,,,,,,,,HubSpot,17,,,,,,4,,,,,,1,,,,25,,,1,,,,blog.velux.nl
